"sentence1","sentence2","label"
"LAPSUS$ exfiltrated source code repositories after compromising development environments.","The adversary deployed clipboard monitoring malware to capture copied credentials and other sensitive data.","1.0"
"Threat actors defaced the organization's website with politically motivated messages.","NotPetya malware spread rapidly through the network, rendering systems inoperable across multiple continents.","1.0"
"The threat actor exfiltrated data using authenticated proxies to appear as legitimate business traffic.","LAPSUS$ used specialized tools to compress and encrypt stolen source code before exfiltration.","1.0"
"Conti ransomware operators used SMB to spread malware to other systems across the network.","APT29 modified registry run keys to maintain persistence across system reboots.","0.0"
"Fin7 threat actors added their malware to the Windows startup folder to ensure execution at system boot.","The attackers manipulated SCADA systems controlling industrial equipment, causing physical damage.","0.0"
"APT32 utilized PowerShell to enumerate cloud service configuration settings and security policies.","BlackCat ransomware operators conducted extensive network scanning to identify vulnerable systems and critical data stores.","1.0"
"Cozy Bear (APT29) used the Microsoft Build Engine (MSBuild) to execute malicious code, bypassing application control.","The attackers installed a backdoor by creating a new Windows service configured to start automatically.","0.0"
"Threat actors exploited the CVE-2020-1472 vulnerability (Zerologon) to obtain domain admin privileges.","APT29 modified registry run keys to maintain persistence across system reboots.","0.0"
"The attackers examined browser history and bookmarks to identify frequently accessed internal applications.","LAPSUS$ threat actors mapped out the victim's CI/CD pipeline to identify access points to source code repositories.","1.0"
"APT41 used living-off-the-land binaries (LOLBins) like certutil.exe to download payloads and evade detection.","APT29 used steganography to hide malicious code within legitimate PNG image files to evade detection.","1.0"
"Sandworm used PowerShell Empire for command and control after exploiting the initial vulnerability.","Lazarus Group operators implemented timestomping to change file timestamps and avoid forensic detection.","0.0"
"Maze ransomware operators used automated tools to identify and collect sensitive documents before encryption.","APT41 leveraged custom malware to capture screenshots when specific banking applications were opened.","1.0"
"The attackers manipulated SCADA systems controlling industrial equipment, causing physical damage.","APT41 exploited a local privilege escalation vulnerability in the Windows Print Spooler service (PrintNightmare).","0.0"
"The attackers installed browser extensions that intercepted authentication traffic and stole session cookies.","The threat actor used a Windows named pipe impersonation technique to steal authentication tokens from privileged accounts.","0.0"
"APT29 used spear-phishing emails with malicious links to harvest credentials and gain initial access to targeted organizations.","The Lazarus Group compromised legitimate websites frequently visited by employees (strategic web compromise) to establish initial access.","1.0"
"The threat actor disabled Windows Defender by modifying registry keys, preventing detection of their malware.","APT29 used steganography to hide malicious code within legitimate PNG image files to evade detection.","1.0"
"The adversary deleted Windows Event Logs to cover their tracks after successful exploitation.","The attackers utilized scheduled polling intervals with jitter to avoid detection of regular communication patterns.","0.0"
"Threat actors exploited CVE-2021-26855, a Microsoft Exchange Server vulnerability, to gain unauthorized access to email accounts.","The CARBON SPIDER group used token manipulation to duplicate access tokens of high-privilege processes.","0.0"
"Threat actors exploited Kerberos delegation to move between systems while maintaining privileged access.","FIN7 group leveraged WMI and PowerShell remoting to execute commands on remote systems for lateral movement.","1.0"
"FIN7 implemented fileless malware that operated entirely in memory to avoid leaving traces on disk.","NOBELIUM used obfuscated JavaScript and PowerShell to hide malicious code from security analysis tools.","1.0"
"The attackers used legitimate cloud storage services to exfiltrate data, appearing as normal business activity.","APT29 used encrypted ZIP archives to package stolen data before exfiltration to avoid detection.","1.0"
"The attackers modified source code in the CI/CD pipeline, introducing subtle vulnerabilities in the product.","NotPetya malware spread rapidly through the network, rendering systems inoperable across multiple continents.","1.0"
"The adversary exploited an insecure direct object reference in the web application to gain unauthorized access to user accounts.","The threat actor used valid accounts obtained through credential stuffing attacks against the organization's VPN solution.","1.0"
"HAFNIUM threat actors exploited trust relationships between servers to move laterally to additional Exchange servers.","APT29 used legitimate remote access tools like RDP and VNC to move laterally through the compromised environment.","1.0"
"The threat actor deployed wiper malware that corrupted the master boot record on critical systems.","APT41 used steganography to hide command and control instructions within image files posted to social media.","0.0"
"FIN7 used multiple encrypted messaging channels for different phases of their operation.","APT29 used steganography to hide malicious code within legitimate PNG image files to evade detection.","0.0"
"APT41 leveraged custom malware to capture screenshots when specific banking applications were opened.","The adversary deployed clipboard monitoring malware to capture copied credentials and other sensitive data.","1.0"
"APT29 deployed a custom version of Mimikatz to extract credentials from LSASS memory on compromised systems.","The attackers installed browser extensions that intercepted authentication traffic and stole session cookies.","1.0"
"The threat actor used stolen credentials to make unauthorized wire transfers to overseas accounts.","LockBit ransomware encrypted backups before encrypting production systems to prevent recovery.","1.0"
"The adversary implemented domain fronting techniques to disguise malicious traffic as legitimate web services.","Fin7 threat actors added their malware to the Windows startup folder to ensure execution at system boot.","0.0"
"Sandworm used PowerShell Empire for command and control after exploiting the initial vulnerability.","The SideWinder APT group used JavaScript to execute a series of payloads that ultimately led to a backdoor.","1.0"
"FIN7 implemented fileless malware that operated entirely in memory to avoid leaving traces on disk.","Kimsuky APT group used legitimate cloud services for command and control, blending in with normal network traffic.","1.0"
"Conti ransomware operators used SMB to spread malware to other systems across the network.","The attackers used pass-the-hash techniques with stolen NTLM hashes to authenticate to remote systems.","1.0"
