sentence1,sentence2,label
Multi-stage channels using different protocols for each stage,The threat actor engaged in multi-stage channels using different protocols for each stage,1.0
Investigation revealed application layer protocol use for command channel which was previously unreported,Port knocking to hide open command and control channels,1.0
Security logs showed disk wipe attacks targeting master boot records,Defacement of websites to demonstrate compromise,1.0
Analysts observed bypass of user account control through known vulnerabilities,Exploitation of vulnerable kernel drivers for privilege escalation,1.0
Evidence suggests exploitation of internal spearphishing with malicious links,Exploitation of shared webroot in web servers,1.0
Unsecured credential storage exploitation in configuration files,Disabling security tools through registry modifications,0.0
The threat actor engaged in abuse of sudo privileges through configuration weaknesses which was previously unreported,Exploitation of access token manipulation to elevate privileges,1.0
Security logs showed powershell scripts executed to run malicious commands,Use of signed binary proxy execution through legitimate tools,1.0
Forensic analysis identified use of signed binary proxy execution through legitimate tools which was previously unreported,PowerShell scripts executed to run malicious commands,1.0
Security logs showed traffic signaling to activate dormant implants to achieve their objectives,Use of web service APIs for command and control,1.0
Evidence suggests dll search order hijacking to execute with elevated privileges during the compromise,Exploitation of setuid and setgid bits on executable files,1.0
The threat actor engaged in bootkit installation to survive operating system reinstallation during the compromise,Account manipulation by adding privileges to compromised accounts,1.0
Email collection from mail servers and client applications,The attack involved email collection from mail servers and client applications,1.0
The threat actor engaged in multi-stage channels using different protocols for each stage,Traffic signaling to activate dormant implants,1.0
Investigation revealed spear phishing links embedded in tailored emails to specific employees bypassing standard security measures,External remote services exploitation using brute force techniques,1.0
Investigation revealed network sniffing to capture credentials transmitted in cleartext,Extraction of passwords from browser storage locations,1.0
Execution via API calls to evade detection mechanisms,Phishing emails with malicious attachments targeting organization employees,0.0
The threat actor engaged in modification of startup folder with malicious executables similar to known APT behaviors,Bootkit installation to survive operating system reinstallation,1.0
The threat actor engaged in phishing emails with malicious attachments targeting organization employees which was previously unreported,Hardware additions like USB devices planted in physical locations,1.0
Exploitation of vulnerable kernel drivers for privilege escalation,Use of remote file copy to transfer tools between systems,0.0
The threat actor engaged in use of alternate data streams to hide data in ntfs file systems,Exploitation of rootkits to hide implants and backdoors,1.0
Data from local systems gathered using scripts,Port knocking techniques to hide open ports from scans,0.0
The attack involved supply chain compromise through third-party software providers similar to known APT behaviors,Hardware additions like USB devices planted in physical locations,1.0
Port knocking to hide open command and control channels,Active scanning of internal networks to map infrastructure,0.0
The threat actor engaged in denial of service attacks against critical infrastructure similar to known APT behaviors,Data destruction through secure deletion techniques,1.0
Evidence suggests query of registry to identify installed software and configurations,Application window discovery to identify running applications,1.0
Port knocking to hide open command and control channels,Use of valid accounts obtained through credential stuffing attacks,0.0
Encrypted data exfiltration using custom encryption schemes,Registry run keys modification for automatic execution at startup,0.0
Extraction of passwords from browser storage locations,Security logs showed extraction of passwords from browser storage locations indicating sophisticated actors,1.0
The malware performs taint shared content with malicious payloads according to incident responders,Use of remote file copy to transfer tools between systems,1.0
Spear phishing links embedded in tailored emails to specific employees,Use of remote services like RDP for internal network movement,0.0
Resource hijacking for cryptocurrency mining,Investigation revealed resource hijacking for cryptocurrency mining,1.0
Forensic analysis identified drive-by compromise through browser vulnerabilities as part of the attack chain,Spear phishing links embedded in tailored emails to specific employees,1.0
Active scanning of internal networks to map infrastructure,Scheduled task manipulation to gain system-level privileges,0.0
Use of remote file copy to transfer tools between systems,Data from cloud storage extracted using API access,0.0
The threat actor engaged in denial of service attacks against critical infrastructure indicating sophisticated actors,Manipulation of network traffic to disrupt operations,1.0
Investigation revealed port knocking techniques to hide open ports from scans,Indicator removal through log clearing and file deletion,1.0
Phishing emails with malicious attachments targeting organization employees,Network share discovery to locate accessible data repositories,0.0
Analysts observed browser bookmark discovery to gather intelligence on interests which was previously unreported,File and directory discovery to locate sensitive information,1.0
Use of steganography to hide data in images or audio files,Registry run keys modification for automatic execution at startup,0.0
Data encryption for ransom using sophisticated ransomware,Active scanning of internal networks to map infrastructure,0.0
Creation of new services configured to execute at system boot,Forensic analysis identified creation of new services configured to execute at system boot similar to known APT behaviors,1.0
Forced authentication through fake SMB servers,Data transfer through alternative protocols like DNS or ICMP,0.0
The malware performs code signing certificates used to sign malicious executables,Port knocking techniques to hide open ports from scans,1.0
The attack involved use of web service apis for command and control which was previously unreported,Fallback channels when primary communication is disrupted,1.0
Unsecured credential storage exploitation in configuration files,Exploitation of shared webroot in web servers,0.0
Investigation revealed forced authentication through fake smb servers during the compromise,Credential dumping from memory using Mimikatz-like tools,1.0
Use of remote services like RDP for internal network movement,Disabling security tools through registry modifications,0.0
Analysts observed firmware corruption to render systems inoperable,Manipulation of network traffic to disrupt operations,1.0
Investigation revealed data encryption for ransom using sophisticated ransomware,Resource hijacking for cryptocurrency mining,1.0
Investigation revealed code signing certificates used to sign malicious executables similar to known APT behaviors,Disabling security tools through registry modifications,1.0
Evidence suggests encrypted data exfiltration using custom encryption schemes,Use of steganography to hide data in images or audio files,1.0
Active scanning of internal networks to map infrastructure,Exploitation of Windows Admin Shares with valid credentials,0.0
Network share discovery to locate accessible data repositories,The malware performs network share discovery to locate accessible data repositories indicating sophisticated actors,1.0
The threat actor engaged in exploitation of internal spearphishing with malicious links,Use of remote services like RDP for internal network movement,1.0
Network sniffing to capture credentials transmitted in cleartext,Data encryption for ransom using sophisticated ransomware,0.0
Use of remote services like RDP for internal network movement,Evidence suggests use of remote services like rdp for internal network movement according to incident responders,1.0
Command-line interface usage to run unauthorized commands,Exploitation of Windows Admin Shares with valid credentials,0.0
